날짜,배추가격
2022-01-03,4151
2022-01-04,4289
2022-01-05,4302
2022-01-06,4387
2022-01-07,4387
2022-01-10,4326
2022-01-11,4489
2022-01-12,4506
2022-01-13,4559
2022-01-14,4330
2022-01-17,4375
2022-01-18,4340
2022-01-19,4148
2022-01-20,4000
2022-01-21,3974
2022-01-24,4021
2022-01-25,3988
2022-01-26,3980
2022-01-27,3998
2022-01-28,4012
2022-02-03,3929
2022-02-04,3956
2022-02-07,3999
2022-02-08,4031
2022-02-09,4031
2022-02-10,4070
2022-02-11,4070
2022-02-14,4084
2022-02-15,4065
2022-02-16,4065
2022-02-17,4109
2022-02-18,4121
2022-02-21,4168
2022-02-22,4168
2022-02-23,4168
2022-02-24,4205
2022-02-25,4212
2022-02-28,4154
2022-03-02,4144
2022-03-03,4163
2022-03-04,4150
2022-03-07,4274
2022-03-08,4274
2022-03-10,4334
2022-03-11,4372
2022-03-14,4341
2022-03-15,4420
2022-03-16,4430
2022-03-17,4482
2022-03-18,4497
2022-03-21,4521
2022-03-22,4545
2022-03-23,4450
2022-03-24,4596
2022-03-25,4589
2022-03-28,4692
2022-03-29,4691
2022-03-30,4711
2022-03-31,4790
2022-04-01,4858
2022-04-04,4930
2022-04-05,4957
2022-04-06,4931
2022-04-07,4860
2022-04-08,4860
2022-04-11,4874
2022-04-12,4904
2022-04-13,4897
2022-04-14,4910
2022-04-15,4910
2022-04-18,4934
2022-04-19,4977
2022-04-20,5038
2022-04-21,5173
2022-04-22,5173
2022-04-25,5081
2022-04-26,5072
2022-04-27,5072
2022-04-28,5077
2022-04-29,5052
2022-05-02,5254
2022-05-03,5273
2022-05-04,5294
2022-05-06,5299
2022-05-09,5238
2022-05-10,5327
2022-05-11,5351
2022-05-12,5309
2022-05-13,5347
2022-05-16,5481
2022-05-17,4097
2022-05-18,4110
2022-05-19,3983
2022-05-20,3970
2022-05-23,3949
2022-05-24,3985
2022-05-25,4000
2022-05-26,4002
2022-05-27,4005
2022-05-30,4033
2022-05-31,4020
2022-06-02,4054
2022-06-03,4034
2022-06-07,4006
2022-06-08,4019
2022-06-09,4085
2022-06-10,4192
2022-06-13,4181
2022-06-14,4185
2022-06-15,4168
2022-06-16,4171
2022-06-17,4168
2022-06-20,4213
2022-06-21,4213
2022-06-22,4222
2022-06-23,4071
2022-06-24,4077
2022-06-27,4090
2022-06-28,4062
2022-06-29,4103
2022-06-30,4358
2022-07-01,4404
2022-07-04,4427
2022-07-05,4510
2022-07-06,4465
2022-07-07,4430
2022-07-08,4479
2022-07-11,4585
2022-07-12,4611
2022-07-13,4721
2022-07-14,5146
2022-07-15,5245
2022-07-18,5636
2022-07-19,5942
2022-07-20,6430
2022-07-21,6583
2022-07-22,6461
2022-07-25,7189
2022-07-26,7651
2022-07-27,7071
2022-07-28,7462
2022-07-29,6922
2022-08-01,6709
2022-08-02,6668
2022-08-03,6534
2022-08-04,6756
2022-08-05,6718
2022-08-08,6634
2022-08-09,6638
2022-08-10,6729
2022-08-11,6762
2022-08-12,6865
2022-08-16,6838
2022-08-17,6618
2022-08-18,6839
2022-08-19,6503
2022-08-22,6717
2022-08-23,6536
2022-08-24,6595
2022-08-25,6570
2022-08-26,6645
2022-08-29,6501
2022-08-30,6702
2022-08-31,7032
2022-09-01,7398
2022-09-02,7464
2022-09-05,7818
2022-09-06,8393
2022-09-07,8069
2022-09-08,8769
2022-09-13,10955
2022-09-14,10883
2022-09-15,10204
2022-09-16,9821
2022-09-19,9429
2022-09-20,9738
2022-09-21,9699
2022-09-22,9626
2022-09-23,9544
2022-09-26,9307
2022-09-27,8987
2022-09-28,8651
2022-09-29,8303
2022-09-30,8155
2022-10-04,8225
2022-10-05,8193
2022-10-06,7756
2022-10-07,7254
2022-10-11,7411
2022-10-12,6709
2022-10-13,6246
2022-10-14,6030
2022-10-17,5898
2022-10-18,5737
2022-10-19,5654
2022-10-20,5027
2022-10-21,4978
2022-10-24,4928
2022-10-25,4863
2022-10-26,4819
2022-10-27,4573
2022-10-28,4532
2022-10-31,4525
2022-11-01,4494
2022-11-02,4514
2022-11-03,4162
2022-11-04,4125
2022-11-07,3991
2022-11-08,4107
2022-11-09,4031
2022-11-10,3235
2022-11-11,3233
2022-11-14,3172
2022-11-15,3164
2022-11-16,3155
2022-11-17,3088
2022-11-18,3079
2022-11-21,3037
2022-11-22,3013
2022-11-23,2981
2022-11-24,2930
2022-11-25,2923
2022-11-28,2937
2022-11-29,2890
2022-11-30,2885
2022-12-01,2870
2022-12-05,2819
2022-12-06,2821
2022-12-07,2830
2022-12-08,2867
2022-12-09,2836
2022-12-12,2839
2022-12-13,2860
2022-12-14,2842
2022-12-15,2851
2022-12-16,2828
2022-12-19,2849
2022-12-20,2850
2022-12-21,2878
2022-12-22,2917
2022-12-23,2949
2022-12-26,2955
2022-12-27,2955
2022-12-28,2972
2022-12-29,3000
2022-12-30,3011
